"Unit_quarter","taxon_name","Agility","PhysicalProtection","Metabolites","above","epi","hemi","eu","density","Bodymass.mg","ind.Loss.Jh","Biomass.mg","pop.Loss.Jh","efficiency"
"U10qA","plants",NA,NA,NA,NA,NA,NA,NA,1,1,0.0164306772297771,1,0,0.545
"U10qA","detritus",NA,NA,NA,NA,NA,NA,NA,1,1,0.0164306772297771,1,0,0.158
"U10qA","microbes",NA,NA,NA,NA,NA,NA,NA,1,1,0.0164306772297771,1,0,0.906
"U10qA","Allodorylaimus",1,1,1,0,0,1,1,1493.04615384615,0.0038241,0.000343037537450992,5.70955779692306,0.512170875916058,0.906
"U10qA","Aphelenchus",1,1,1,0,0,1,1,1493.04615384615,0.000218,4.68406332484432e-05,0.325484061538461,0.0699352273153063,0.906
"U10qA","Aporcelaimus",1,1,1,0,0,1,1,1493.04615384615,0.0780079,0.0027900573085129,116.469395064615,4.16568433348553,0.906
"U10qA","Cephalobus",1,1,1,0,0,1,1,4479.13846153846,0.0002662,5.38172187183306e-05,1.19234665846154,0.241054774254302,0.906
"U10qA","Clarkus",1,1,1,0,0,1,1,2986.09230769231,0.003897,0.00034756980334886,11.6368017230769,1.03787551616616,0.906
"U10qA","Ditylenchus",1,1,1,0,0,1,1,2986.09230769231,0.0004511,7.76492977707638e-05,1.34702624,0.231867970770987,0.906
"U10qA","Eudorylaimus",1,1,1,0,0,1,1,1493.04615384615,0.0031351,0.000298794376676986,4.68084899692307,0.446113794888432,0.906
"U10qA","Helicotylenchus",1,1,1,0,0,1,1,4479.13846153846,0.0002937,5.76232737628211e-05,1.31552296615385,0.258102621790812,0.906
"U10qA","Merlinius",1,1,1,0,0,1,1,5972.18461538462,0.0002527,5.19051789177572e-05,1.50917105230769,0.309987310991416,0.906
"U10qA","Mesodorylaimus",1,1,1,0,0,1,1,1493.04615384615,0.0012774,0.000160083738212262,1.90721715692307,0.239012409631132,0.906
"U10qA","Microlaimus",1,1,1,0,0,1,1,1493.04615384615,0.0003622,6.66623039698834e-05,0.540781316923076,0.0995298965487573,0.906
"U10qA","Mylonchulus",1,1,1,0,0,1,1,2986.09230769231,0.0017233,0.000197119715232653,5.14593287384616,0.588617665350725,0.906
"U10qA","Paratylenchus",1,1,1,0,0,1,1,1493.04615384615,5.13e-05,1.71349346082443e-05,0.0765932676923075,0.0255832482132444,0.906
"U10qA","Plectus",1,1,1,0,0,1,1,1493.04615384615,0.0008578,0.000121378295323782,1.28073499076923,0.181223396993575,0.906
"U10qA","Pratylenchus",1,1,1,0,0,1,1,7465.23076923077,0.0001438,3.5077213891464e-05,1.07350018461538,0.261859496441446,0.906
"U10qA","Prionchulus",1,1,1,0,0,1,1,1493.04615384615,0.0115883,0.000741330250006387,17.3018667446153,1.10684027850184,0.906
"U10qA","Prodesmodora",1,1,1,0,0,1,1,4479.13846153846,0.0001804,4.10652099615153e-05,0.808036578461538,0.183936761369775,0.906
"U10qA","Psilenchus",1,1,1,0,0,1,1,7465.23076923077,0.0005515,8.92890594400146e-05,4.11707476923077,0.666563433887272,0.906
"U10qA","Rotylenchulus",1,1,1,0,0,1,1,1493.04615384615,0.0017705,0.000200856897989227,2.64343821538461,0.299888619016283,0.906
"U10qA","Thornia",1,1,1,0,0,1,1,1493.04615384615,0.0008752,0.000123084377531614,1.30671399384615,0.183770656472124,0.906
"U10qA","Tylencholaimus",1,1,1,0,0,1,1,1493.04615384615,0.0004137,7.31158757223937e-05,0.617673193846152,0.109165377032413,0.906
"U10qA","Tylolaimophorus",1,1,1,0,0,1,1,1493.04615384615,0.0008719,0.000122761610819562,1.30178694153846,0.183288750874104,0.906
"U10qA","Autognethidae",1,0.4,0.7,0,0,1,0.5,300,0.00498454906816673,7.329460461892e-05,1.49536472045002,0.021988381385676,0.906
"U10qA","Entomobryidae_large",0.7,1,1,0.5,1,0.5,0,625,0.0543569646272433,0.00217054117803577,33.9731028920271,1.35658823627236,0.906
"U10qA","Entomobryidae_medium",0.7,1,1,0.5,1,0.5,0,625,0.0124658172531357,0.000779913047369307,7.79113578320981,0.487445654605817,0.906
"U10qA","Hypochthoniidae",1,0.4,0.7,0,0,1,0.5,300,0.0124808142290752,0.000136735318431708,3.74424426872256,0.0410205955295124,0.906
"U10qA","Isotomidae_large",0.7,1,1,0.5,1,0.5,0,250,0.0376716395226824,0.00168222643730718,9.4179098806706,0.420556609326796,0.906
"U10qA","Isotomidae_medium",0.7,1,1,0,0,1,0.5,1250,0.012465763660125,0.000779910716794548,15.5822045751562,0.974888395993185,0.906
"U10qA","Onychiuridae",1,1,0.4,0,0,1,1,125,0.0107259383324597,0.000702535307725915,1.34074229155746,0.0878169134657394,0.906
"U10qA","Oppiidae",1,0.4,0.7,0,0,1,0.5,600,0.00300811076615137,5.20072941729413e-05,1.80486645969082,0.0312043765037648,0.906
"U10qA","Oribatida_juv",1,0.4,0.7,0,0,1,0.5,100,0.00073075666916339,1.98873416069361e-05,0.073075666916339,0.00198873416069361,0.906
"U10qA","Prostigmata_juv_undet",1,0.7,1,0,0.5,1,0.5,100,0.00144974703037862,3.17575553275012e-05,0.144974703037862,0.00317575553275012,0.906
"U10qA","Sminthurididae",0.7,1,1,0.5,1,0.5,0,125,0.0019834695581292,0.00021735735041284,0.24793369476615,0.027169668801605,0.906
"U10qA","Polydesmidae_small",1,0.4,0.7,0,1,1,0,11.1111111111111,0.643825921980474,0.0120285126955906,7.15362135533859,0.133650141062118,0.906
"U10qA","Staphylinidae_ad",1,0.4,0.4,1,1,1,1,11.1111111111111,0.241472408214671,0.00596401311873081,2.68302675794079,0.0662668124303422,0.906
"U10qB","plants",NA,NA,NA,NA,NA,NA,NA,1,1,0.0164306772297771,1,0,0.545
"U10qB","detritus",NA,NA,NA,NA,NA,NA,NA,1,1,0.0164306772297771,1,0,0.158
"U10qB","microbes",NA,NA,NA,NA,NA,NA,NA,1,1,0.0164306772297771,1,0,0.906
"U10qB","Aphelenchoides",1,1,1,0,0,1,1,1538.40206185567,0.0001512,3.63222469939831e-05,0.232606391752577,0.0558782196667746,0.906
"U10qB","Aphelenchus",1,1,1,0,0,1,1,3076.80412371134,0.000218,4.68406332484432e-05,0.670743298969072,0.144119453536061,0.906
"U10qB","Aporcelaimellus",1,1,1,0,0,1,1,1538.40206185567,0.0090478,0.000624176995380846,13.9191541752577,0.960235176656771,0.906
"U10qB","Clarkus",1,1,1,0,0,1,1,1538.40206185567,0.003897,0.00034756980334886,5.99515283505155,0.534702102110657,0.906
"U10qB","Criconemoides",1,1,1,0,0,1,1,1538.40206185567,0.0006627,0.000101448369735321,1.01949904639175,0.156068381172714,0.906
"U10qB","Diphtherophora",1,1,1,0,0,1,1,4615.20618556701,0.0005039,8.38591893402611e-05,2.32560239690722,0.387027449359808,0.906
"U10qB","Ecumenicus",1,1,1,0,0,1,1,1538.40206185567,0.0006347,9.84495086540664e-05,0.976423788659794,0.151454927102093,0.906
"U10qB","Eudorylaimus",1,1,1,0,0,1,1,3076.80412371134,0.0031351,0.000298794376676986,9.64608860824742,0.919331770301511,0.906
"U10qB","Helicotylenchus",1,1,1,0,0,1,1,6153.60824742268,0.0002937,5.76232737628211e-05,1.80731474226804,0.354591052670391,0.906
"U10qB","Merlinius",1,1,1,0,0,1,1,4615.20618556701,0.0002527,5.19051789177572e-05,1.16626260309278,0.239553102804195,0.906
"U10qB","Microdorylaimus",1,1,1,0,0,1,1,7692.01030927835,0.0002009,4.42551718892248e-05,1.54532487113402,0.340411238410803,0.906
"U10qB","Miculenchus",1,1,1,0,0,1,1,1538.40206185567,8.15e-05,2.36384880243308e-05,0.125379768041237,0.0363654987157811,0.906
"U10qB","Pratylenchus",1,1,1,0,0,1,1,13845.618556701,0.0001438,3.5077213891464e-05,1.9909999484536,0.485665723573023,0.906
"U10qB","Psilenchus",1,1,1,0,0,1,1,9230.41237113402,0.0005515,8.92890594400146e-05,5.09057242268041,0.824174838862032,0.906
"U10qB","Thornia",1,1,1,0,0,1,1,1538.40206185567,0.0008752,0.000123084377531614,1.34640948453608,0.189353260176857,0.906
"U10qB","Tylencholaimus",1,1,1,0,0,1,1,1538.40206185567,0.0004137,7.31158757223937e-05,0.636436932989691,0.112481613965713,0.906
"U10qB","Acaridae",1,1,1,0,0,1,0.5,110.909090909091,0.0016212615684289,3.41738190138135e-05,0.179812646680296,0.00379018719971387,0.906
"U10qB","Autognethidae",1,0.4,0.7,0,0,1,0.5,3770.90909090909,0.00498454906816673,7.329460461892e-05,18.7962813952324,0.276387290872073,0.906
"U10qB","Brachychthoniidae",1,0.4,0.7,0,0,1,0.5,110.909090909091,0.0016212615684289,3.41738190138135e-05,0.179812646680296,0.00379018719971387,0.906
"U10qB","Entomobryidae_medium",0.7,1,1,0.5,1,0.5,0,113.04347826087,0.00548716789251486,0.000440901920776144,0.620288544371247,0.0498410866964339,0.906
"U10qB","Hypochthoniidae",1,0.4,0.7,0,0,1,0.5,110.909090909091,0.0267180433340805,0.000229326703286506,2.96327389705257,0.0254344161826852,0.906
"U10qB","Isotomidae_large",0.7,1,1,0.5,1,0.5,0,565.217391304348,0.0475025898869345,0.00197642358006817,26.8492899360934,1.11710898003853,0.906
"U10qB","Isotomidae_medium",0.7,1,1,0,0,1,0.5,904.347826086956,0.00794414219621462,0.000570215527048268,7.18426772527235,0.515673172287129,0.906
"U10qB","Isotomidae_small",0.7,1,1,0,0,1,0.5,678.260869565217,0.00351806211193009,0.000323714524774427,2.38616386722215,0.219562895064394,0.906
"U10qB","Laelapidae",1,0.7,1,0,0,1,0.5,332.727272727273,0.0269263894142542,0.000397546554855572,8.95914411419731,0.132274580979218,0.906
"U10qB","Oppiidae",1,0.4,0.7,0,0,1,0.5,221.818181818182,0.00300811076615137,5.20072941729413e-05,0.667253660855395,0.0115361634347252,0.906
"U10qB","Prostigmata_juv_undet",1,0.7,1,0,0.5,1,0.5,110.909090909091,0.0002070141348791,8.79032627053581e-06,0.0229597495047729,0.000974927095459426,0.906
"U10qB","Rhodacaridae",1,0.7,1,0,0,1,0.5,332.727272727273,0.00642321806893905,0.000147778645634176,2.13717983021063,0.0491699857291895,0.906
"U10qB","Scutacaridae",1,0.7,1,0,0.5,1,0.5,998.181818181818,0.00064634479445507,1.8634669145834e-05,0.645169622101515,0.0186007879292052,0.906
